recipe_id,measurement,measurement_unit,ingredient,notes
4,1.5,Cup,Sugar,
4,2.33,Cup,Flour,For bundt cake
4,2.0,Cup,Flour,For regular cake
4,1.0,tsp,Soda,
4,0.33,Cup,Wesson Oil,
4,1.0,Can,Fruit Cocktail,Not drained
4,2.0,,Eggs,
4,1.0,tsp,Vanilla,
4,1.0,tsp,Cinnamon,
4,0.33,Cup,Brown Sugar,
4,0.5,Cup,Chopped Nuts,Or more
5,,,Ground Minced Ham,
5,,,Pickles,
5,,,Ground Hard Cooked Eggs,
5,,,Mayonnaise,
5,,,Salt and Pepper,
5,,,Mustard,
5,,,Ground Cheese,
6,3.0,Cup,Cold Cooked Rice,
6,1.0,Cup,Chopped Tart Apple,1 Large
6,0.33,Cup,Sugar,
6,0.5,tsp,Salt,
6,4.0,Cup,Frozen Whipped Topping,Thawed
6,1.0,tsp,Vanilla,
6,0.5,tsp,Almond,
6,1.0,Can,Crushed Pineapple,20 oz. Drained.
6,1.0,Jar,Maraschino Cherries,10 oz. Drained and quartered.
7,3.0,,Egg,
7,1.0,Cup,Sugar,
7,0.66,Cup,Pumpkin,
7,1.0,tsp,Lemon Juice,
7,0.75,Cup,Flour,
7,1.0,tbsp,Baking Powder,
7,2.0,tsp,Cinnamon,
7,1.0,tsp,Ginger,
7,0.5,tsp,Nutmeg,
7,0.5,tsp,Salt,
7,1.0,Cup,Finely Chopped Nuts,
7,6.0,Ounce,Cream Cheese,
7,4.0,tbsp,Butter,
7,1.0,Cup,Powdered Sugar,Plus more for towel.
7,0.5,tsp,Vanilla,
8,,,Hamburger,
8,,,Hash Brown Potatoes,
8,,,Cream of Mushroom Soup,
8,,,Vegetables,Could use leftovers.
8,,,Cheese Whiz,
9,1.0,Package,Deluxe White Cake Mix,
9,1.0,Can,Coconut Creme,
9,1.0,Can,Condensed Milk,Eagle Brand
9,1.0,Large Tub,Cool Whip,or two packages dream whip.
9,3.5,Ounce,Moist flaked coconut,
9,,Few,Chopped Nuts,Optional
12,2.0,Can,Chicken Noodle Soup,
12,1.0,Can,Mushroom Soup,
12,1.0,Can,Tuna Fish,
12,1.0,Box,Rice Krispies,
